MSN,StateCode,Year,Data
BMTCB,US,1998,2927489
BMTCB,US,1999,2963292
BMTCB,US,2000,3008229
BMTCB,US,2001,2625395
BMTCB,US,2002,2698515
BMTCB,US,2003,2804726
BMTCB,US,2004,3004598
BMTCB,US,2005,3100638
BMTCB,US,2006,3228406
BMTCB,US,2007,3438829
BMTCB,US,2008,3811465
BMTCB,US,2009,3898016
BMTCB,US,2010,4235786
BMTCB,US,2011,4290667
BMTCB,US,2012,4249844
BMTCB,US,2013,4464695
BMTCB,US,2014,4623932
BMTCB,US,2015,4516058
CCEXB,US,1960,8754
CCEXB,US,1961,11036
CCEXB,US,1962,9027
CCEXB,US,1963,11185
CCEXB,US,1964,12995
CCEXB,US,1965,20683
CCEXB,US,1966,27330
CCEXB,US,1967,17608
CCEXB,US,1968,19642
CCEXB,US,1969,40399
CCEXB,US,1970,61454
CCEXB,US,1971,37423
CCEXB,US,1972,30554
CCEXB,US,1973,34596
CCEXB,US,1974,31694
CCEXB,US,1975,31570
CCEXB,US,1976,32612
CCEXB,US,1977,30777
CCEXB,US,1978,17186
CCEXB,US,1979,35712
CCEXB,US,1980,51362
CCEXB,US,1981,29020
CCEXB,US,1982,24632
CCEXB,US,1983,16504
CCEXB,US,1984,25911
CCEXB,US,1985,27833
CCEXB,US,1986,24909
CCEXB,US,1987,14243
CCEXB,US,1988,27112
CCEXB,US,1989,26918
CCEXB,US,1990,14189
CCEXB,US,1991,19645
CCEXB,US,1992,17402
CCEXB,US,1993,26333
CCEXB,US,1994,24456
CCEXB,US,1995,33678
CCEXB,US,1996,40233
CCEXB,US,1997,31405
CCEXB,US,1998,27999
CCEXB,US,1999,22261
CCEXB,US,2000,28414
CCEXB,US,2001,33373
CCEXB,US,2002,19637
CCEXB,US,2003,17900
CCEXB,US,2004,32701
CCEXB,US,2005,43335
CCEXB,US,2006,40089
CCEXB,US,2007,35807
CCEXB,US,2008,48582
CCEXB,US,2009,32409
CCEXB,US,2010,36278
CCEXB,US,2011,24058
CCEXB,US,2012,24162
CCEXB,US,2013,20833
CCEXB,US,2014,23461
CCEXB,US,2015,21251
CCEXP,US,1960,353
CCEXP,US,1961,445
CCEXP,US,1962,364
CCEXP,US,1963,451
CCEXP,US,1964,524
CCEXP,US,1965,834
CCEXP,US,1966,1102
CCEXP,US,1967,710
CCEXP,US,1968,792
CCEXP,US,1969,1629
CCEXP,US,1970,2478
CCEXP,US,1971,1509
CCEXP,US,1972,1232
CCEXP,US,1973,1395
CCEXP,US,1974,1278
CCEXP,US,1975,1273
CCEXP,US,1976,1315
CCEXP,US,1977,1241
CCEXP,US,1978,693
CCEXP,US,1979,1440
CCEXP,US,1980,2071
CCEXP,US,1981,1170
CCEXP,US,1982,993
CCEXP,US,1983,665
CCEXP,US,1984,1045
CCEXP,US,1985,1122
CCEXP,US,1986,1004
CCEXP,US,1987,574
CCEXP,US,1988,1093
CCEXP,US,1989,1085
CCEXP,US,1990,572
CCEXP,US,1991,792
CCEXP,US,1992,702
CCEXP,US,1993,1062
CCEXP,US,1994,986
CCEXP,US,1995,1358
CCEXP,US,1996,1622
CCEXP,US,1997,1266
CCEXP,US,1998,1129
CCEXP,US,1999,898
CCEXP,US,2000,1146
CCEXP,US,2001,1346
CCEXP,US,2002,792
CCEXP,US,2003,722
CCEXP,US,2004,1319
CCEXP,US,2005,1747
CCEXP,US,2006,1616
CCEXP,US,2007,1444
CCEXP,US,2008,1959
CCEXP,US,2009,1307
CCEXP,US,2010,1463
CCEXP,US,2011,970
CCEXP,US,2012,974
CCEXP,US,2013,840
CCEXP,US,2014,946
CCEXP,US,2015,857
CCEXV,US,1981,74
CCEXV,US,1987,48
CCEXV,US,1993,76
CCEXV,US,2005,147
CCEXV,US,2007,131
CCIMB,US,1960,3125
CCIMB,US,1961,3150
CCIMB,US,1962,3522
CCIMB,US,1963,3794
CCIMB,US,1964,2554
CCIMB,US,1965,2232
CCIMB,US,1966,2381
CCIMB,US,1967,2282
CCIMB,US,1968,2331
CCIMB,US,1969,4290
CCIMB,US,1970,3794
CCIMB,US,1971,4315
CCIMB,US,1972,4588
CCIMB,US,1973,27131
CCIMB,US,1974,87792
CCIMB,US,1975,45111
CCIMB,US,1976,32513
CCIMB,US,1977,45359
CCIMB,US,1978,141906
CCIMB,US,1979,98555
CCIMB,US,1980,16332
CCIMB,US,1981,13071
CCIMB,US,1982,2976
CCIMB,US,1983,868
CCIMB,US,1984,14423
CCIMB,US,1985,14341
CCIMB,US,1986,8155
